type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,25,1024,333474579771422,44611,0,0,0,1114414,8408,0,0,0,7432,210015705,122345
MULTIVAR,test,2,64,25,1024,333474796006799,40616,0,0,0,2829586,10815,0,0,0,12501,255790035,171263
MULTIVAR,test,2,64,25,1024,333475059439519,48453,0,0,0,1111821,13128,0,0,0,8649,351161066,188819
MULTIVAR,test,2,64,25,1024,333475416765207,48545,0,0,0,1278440,9395,0,0,0,7277,240288031,129434
MULTIVAR,test,2,64,25,1024,333475663115545,39661,0,0,0,1301073,13036,0,0,0,6228,125606667,83622
MULTIVAR,test,2,64,25,1024,333475794650857,42516,0,0,0,1157293,14108,0,0,0,6557,122576933,93433
MULTIVAR,test,2,64,25,1024,333475923227319,41752,0,0,0,1155052,10293,0,0,0,7935,113794699,99125
MULTIVAR,test,2,64,25,1024,333476042802080,48774,0,0,0,1510557,10458,0,0,0,5416,88638940,83430
MULTIVAR,test,2,64,32,1024,333476137696448,56191,0,0,0,1363141,14706,0,0,0,7299,226251207,127048
MULTIVAR,test,2,64,32,1024,333476370653982,42174,0,0,0,1478885,15031,0,0,0,5225,121550735,88756
MULTIVAR,test,2,64,32,1024,333476499541856,39928,0,0,0,1219674,13942,0,0,0,6308,113052806,106336
MULTIVAR,test,2,64,32,1024,333476621781214,47760,0,0,0,1571581,15886,0,0,0,5029,92652061,91926
MULTIVAR,test,2,64,32,1024,333476720679590,71867,0,0,0,1439759,9855,0,0,0,9429,161427331,124899
MULTIVAR,test,2,64,32,1024,333476888376937,51447,0,0,0,1438391,10558,0,0,0,5745,149321523,90991
MULTIVAR,test,2,64,32,1024,333477054831837,58579,0,0,0,1426150,22290,0,0,0,9059,131228108,98046
MULTIVAR,test,2,64,32,1024,333477192812419,60450,0,0,0,1725800,16214,0,0,0,6536,93149798,84591
MULTIVAR,test,2,64,32,1024,333477292488069,44318,0,0,0,1360154,12826,0,0,0,8928,147958132,124601
MULTIVAR,test,2,64,32,1024,333477446469679,45865,0,0,0,1071855,10033,0,0,0,5622,104612067,99962
MULTIVAR,test,2,64,32,1024,333477558780987,57313,0,0,0,1313917,17425,0,0,0,7604,164475637,93490
MULTIVAR,test,2,64,32,1024,333477729241279,44104,0,0,0,6255064,15699,0,0,0,5803,141254759,83634
MULTIVAR,test,2,64,32,1024,333477882647467,61827,0,0,0,882156,14425,0,0,0,9702,145868859,122240
